Dataset Name,Algorithm Name,Cross Validation [1-10],Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training Time,Inference Time
beans,lookAhead,1,"{'optimizer': 'adam', 'slow_step_size': 0.8943689254268073}",73.4375,0.9375,0.953125,0.761904776,0.881271362,0.800948083,6.985584974,0.130224943
beans,lookAhead,2,"{'optimizer': 'adam', 'slow_step_size': 0.8773615653283267}",78.90625,0.96875,0.95703125,0.828828812,0.910736084,0.840084553,4.761841536,0.122663975
beans,lookAhead,3,"{'optimizer': 'adam', 'slow_step_size': 0.7798036820693702}",75.78125,0.953125,0.9453125,0.798076928,0.886413574,0.801830471,4.725946665,0.136173964
beans,lookAhead,4,"{'optimizer': 'adam', 'slow_step_size': 0.8961004124811479}",75,0.984375,0.97265625,0.773109257,0.917114258,0.856548488,6.985475063,0.122092962
beans,lookAhead,5,"{'optimizer': 'adam', 'slow_step_size': 0.8154708602463007}",67.1875,0.953125,0.93359375,0.720720708,0.848907471,0.744405866,5.083791971,0.135984898
beans,lookAhead,6,"{'optimizer': 'adam', 'slow_step_size': 0.8910930430524853}",75,0.96875,0.9609375,0.781818211,0.899291992,0.831349134,5.221288443,0.124323368
beans,lookAhead,7,"{'optimizer': 'adam', 'slow_step_size': 0.8537097737076094}",76.5625,0.9609375,0.953125,0.800000012,0.910308838,0.846257567,6.988767385,0.132005692
beans,lookAhead,8,"{'optimizer': 'adam', 'slow_step_size': 0.8436607091117728}",73.4375,0.9609375,0.95703125,0.779661,0.901626587,0.824694812,5.064804316,0.131964445
beans,lookAhead,9,"{'optimizer': 'adam', 'slow_step_size': 0.8596105920865804}",75.78125,0.953125,0.94140625,0.796460152,0.897064209,0.818457246,7.68470192,0.124305248
beans,lookAhead,10,"{'optimizer': 'adam', 'slow_step_size': 0.7464109909971768}",73.4375,0.96875,0.953125,0.765217364,0.898696899,0.829979956,7.01449132,0.124469757
beans,lookAhead_improved,1,"{'sync_period': 1, 'slow_step_size': 0.6147141863706906}",78.125,0.9375,0.9453125,0.798165143,0.89906311,0.820062637,7.391423464,0.127712011
beans,lookAhead_improved,2,"{'sync_period': 6, 'slow_step_size': 0.8659507483090861}",76.5625,0.984375,0.95703125,0.798245609,0.906356812,0.835978508,7.329770327,0.126543999
beans,lookAhead_improved,3,"{'sync_period': 3, 'slow_step_size': 0.5355496321617073}",74.21875,0.984375,0.9609375,0.767857134,0.896591187,0.820049047,7.341313839,0.123441219
beans,lookAhead_improved,4,"{'sync_period': 7, 'slow_step_size': 0.6671759986368309}",76.5625,0.9609375,0.95703125,0.813725471,0.891616821,0.81106925,5.631694794,0.109010696
beans,lookAhead_improved,5,"{'sync_period': 1, 'slow_step_size': 0.8891301672539729}",76.5625,0.9609375,0.953125,0.819819808,0.906066895,0.829975724,7.372793674,0.12468338
beans,lookAhead_improved,6,"{'sync_period': 2, 'slow_step_size': 0.6696812689394136}",76.5625,0.9609375,0.94921875,0.792452812,0.889007568,0.795328796,7.346418142,0.123249054
beans,lookAhead_improved,7,"{'sync_period': 2, 'slow_step_size': 0.6031384429007841}",75.78125,0.953125,0.9609375,0.800000012,0.899963379,0.826347411,5.565765142,0.124387264
beans,lookAhead_improved,8,"{'sync_period': 1, 'slow_step_size': 0.7840554871022222}",76.5625,0.96875,0.953125,0.792792797,0.905639648,0.828370273,5.532316446,0.123541594
beans,lookAhead_improved,9,"{'sync_period': 2, 'slow_step_size': 0.5584893148119493}",77.34375,0.96875,0.953125,0.796296299,0.898117065,0.815682232,7.296739578,0.12724328
beans,lookAhead_improved,10,"{'sync_period': 3, 'slow_step_size': 0.7965371030871529}",76.5625,0.9609375,0.95703125,0.778761089,0.906936646,0.832860947,7.303279161,0.125106573
beans,baseline_model,1,"{'lr': 0.0033015671701387447, 'epsilon': 8.597251344119989e-06}",79.6875,0.9765625,0.97265625,0.815789461,0.92048645,0.860486507,4.163213015,0.121309996
beans,baseline_model,2,"{'lr': 0.0028855932677509456, 'epsilon': 1.0821002446678186e-06}",77.34375,0.9765625,0.9765625,0.810810804,0.921142578,0.85033083,6.403896332,0.102731943
beans,baseline_model,3,"{'lr': 0.003237572926251897, 'epsilon': 6.134329437002076e-06}",76.5625,0.9921875,0.98046875,0.79831934,0.925354004,0.871640325,6.386557579,0.121882915
beans,baseline_model,4,"{'lr': 0.001247612545938172, 'epsilon': 7.403764998030581e-07}",78.125,0.9765625,0.97265625,0.837837815,0.920272827,0.861981392,6.441757202,0.12840867
beans,baseline_model,5,"{'lr': 0.00336126273258028, 'epsilon': 4.050928070191474e-07}",77.34375,0.9921875,0.984375,0.808333337,0.933959961,0.885401607,4.229119778,0.122545958
beans,baseline_model,6,"{'lr': 0.009789461328301365, 'epsilon': 1.0210288986988306e-06}",52.34375,0.7265625,0.7890625,0.513157904,0.671707153,0.511042833,6.401937962,0.105012178
beans,baseline_model,7,"{'lr': 0.008937116736281128, 'epsilon': 1.252106048292138e-06}",68.75,0.9296875,0.9140625,0.738738716,0.852890015,0.745882034,6.395800829,0.103260756
beans,baseline_model,8,"{'lr': 0.0024156635102011497, 'epsilon': 3.0226205750529703e-07}",68.75,0.953125,0.9296875,0.696721315,0.867797852,0.761951208,4.838262558,0.126310349
beans,baseline_model,9,"{'lr': 0.0014387636273353094, 'epsilon': 1.779840726780998e-05}",76.5625,0.984375,0.97265625,0.803571403,0.918487549,0.856303334,6.441583872,0.124067068
beans,baseline_model,10,"{'lr': 0.0014685037721797645, 'epsilon': 4.239916185513337e-06}",77.34375,0.984375,0.9765625,0.810810804,0.92338562,0.864426851,4.249810457,0.104004622
cifar10,lookAhead,1,"{'optimizer': 'adam', 'slow_step_size': 0.8985993908937234}",35.40000021,0.921999991,0.878666639,0.535087705,0.822863936,0.361105651,4.299295902,0.106146574
cifar10,lookAhead,2,"{'optimizer': 'adam', 'slow_step_size': 0.8992088559627514}",40.59999883,0.907999992,0.915111125,0.562962949,0.830790401,0.402446747,6.9999125,0.103556395
cifar10,lookAhead,3,"{'optimizer': 'adam', 'slow_step_size': 0.8982992295631919}",40.0000006,0.925999999,0.906888902,0.5625,0.837209582,0.389079899,6.998780727,0.125946999
cifar10,lookAhead,4,"{'optimizer': 'adam', 'slow_step_size': 0.8886128711091199}",35.40000021,0.89200002,0.865999997,0.54838711,0.798126817,0.335832864,4.925821066,0.125074387
cifar10,lookAhead,5,"{'optimizer': 'adam', 'slow_step_size': 0.8880273780130792}",39.19999897,0.920000017,0.894888878,0.604651153,0.824312389,0.376594156,6.968310833,0.127112865
cifar10,lookAhead,6,"{'optimizer': 'adam', 'slow_step_size': 0.8976912808131129}",34.799999,0.920000017,0.879777789,0.497041434,0.812569618,0.333651245,4.90374279,0.110064745
cifar10,lookAhead,7,"{'optimizer': 'adam', 'slow_step_size': 0.7315814361870673}",38.19999993,0.906000018,0.889111102,0.552631557,0.820459604,0.368833333,6.953316689,0.103924751
cifar10,lookAhead,8,"{'optimizer': 'adam', 'slow_step_size': 0.8192250289027831}",39.19999897,0.930000007,0.902444422,0.666666687,0.835021615,0.399484277,4.861681938,0.126004219
cifar10,lookAhead,9,"{'optimizer': 'adam', 'slow_step_size': 0.7745942198739539}",38.60000074,0.920000017,0.89644444,0.603305757,0.831409693,0.386412323,5.145574331,0.125576258
cifar10,lookAhead,10,"{'optimizer': 'adam', 'slow_step_size': 0.8050668694153034}",36.39999926,0.930000007,0.898222208,0.647619069,0.830520034,0.381376386,7.029572964,0.125585556
cifar10,lookAhead_improved,1,"{'sync_period': 1, 'slow_step_size': 0.7915975754189803}",37.00000048,0.913999975,0.871999979,0.615384638,0.817251205,0.361757666,5.797670603,0.116606712
cifar10,lookAhead_improved,2,"{'sync_period': 4, 'slow_step_size': 0.7672094705780843}",38.80000114,0.90200001,0.887111127,0.686274529,0.808660626,0.367062956,7.389249802,0.120473146
cifar10,lookAhead_improved,3,"{'sync_period': 8, 'slow_step_size': 0.6884287307143315}",40.40000141,0.917999983,0.887111127,0.78125,0.821406424,0.3753663,6.182221174,0.129190207
cifar10,lookAhead_improved,4,"{'sync_period': 2, 'slow_step_size': 0.8950778378083308}",37.20000088,0.930000007,0.882000029,0.643678188,0.814120412,0.373421907,5.33125639,0.129256248
cifar10,lookAhead_improved,5,"{'sync_period': 10, 'slow_step_size': 0.8896532041020333}",36.00000143,0.913999975,0.879111111,0.655737698,0.81797713,0.367307901,5.986544609,0.124824762
cifar10,lookAhead_improved,6,"{'sync_period': 10, 'slow_step_size': 0.6805727550466786}",40.0000006,0.941999972,0.909111083,0.694915235,0.835822821,0.398991615,7.338647366,0.122825384
cifar10,lookAhead_improved,7,"{'sync_period': 9, 'slow_step_size': 0.884244915975}",37.99999952,0.913999975,0.878222227,0.615384638,0.813464642,0.359349668,7.957991362,0.125574827
cifar10,lookAhead_improved,8,"{'sync_period': 6, 'slow_step_size': 0.7979178053276327}",35.80000103,0.920000017,0.891333342,0.692307711,0.817933738,0.362135559,5.408309698,0.111296415
cifar10,lookAhead_improved,9,"{'sync_period': 4, 'slow_step_size': 0.8973456098655362}",37.99999952,0.925999999,0.885555565,0.724137902,0.826292276,0.379341245,7.377136946,0.122946978
cifar10,lookAhead_improved,10,"{'sync_period': 9, 'slow_step_size': 0.7499993155935125}",36.19999886,0.912,0.881111085,0.680851042,0.817150891,0.359972507,7.30329895,0.109256268
cifar10,baseline_model,1,"{'lr': 0.003017470442560896, 'epsilon': 8.349092678402561e-07}",42.80000031,0.907999992,0.905111134,0.510121465,0.829189181,0.402908295,4.685538054,0.112855196
cifar10,baseline_model,2,"{'lr': 0.0033415769407760297, 'epsilon': 3.230893276493758e-07}",34.9999994,0.846000016,0.867333353,0.4296875,0.772348046,0.313469827,4.677880287,0.128003597
cifar10,baseline_model,3,"{'lr': 0.0023968080614392363, 'epsilon': 1.3643035419746675e-06}",42.80000031,0.938000023,0.898000002,0.57062149,0.84359467,0.411316305,7.002050877,0.133976698
cifar10,baseline_model,4,"{'lr': 0.0032903989719167896, 'epsilon': 2.2339139502599043e-07}",31.60000145,0.856000006,0.84911114,0.414728671,0.774463356,0.316012442,4.386798859,0.11059165
